depth, width, input_size, file_size
3, 1024, 32, 8431040
3, 1024, 64, 8431040
3, 1024, 128, 8431040
4, 1, 1, 2020
4, 1, 2, 2020
4, 1, 4, 2020
4, 1, 8, 2020
4, 1, 16, 2020
4, 1, 32, 2020
4, 1, 64, 2020
4, 1, 128, 2020
4, 2, 1, 2108
4, 2, 2, 2108
4, 2, 4, 2108
4, 2, 8, 2108
4, 2, 16, 2108
4, 2, 32, 2108
4, 2, 64, 2108
4, 2, 128, 2108
4, 4, 1, 2356
4, 4, 2, 2356
4, 4, 4, 2356
4, 4, 8, 2356
4, 4, 16, 2356
4, 4, 32, 2356
4, 4, 64, 2356
4, 4, 128, 2356
4, 8, 1, 3140
4, 8, 2, 3140
4, 8, 4, 3140
4, 8, 8, 3140
4, 8, 16, 3140
4, 8, 32, 3140
4, 8, 64, 3140
4, 8, 128, 3140
4, 16, 1, 5416
4, 16, 2, 5416
4, 16, 4, 5416
4, 16, 8, 5416
4, 16, 16, 5416
4, 16, 32, 5416
4, 16, 64, 5416
4, 16, 128, 5416
4, 32, 1, 15272
4, 32, 2, 15272
4, 32, 4, 15272
4, 32, 8, 15272
4, 32, 16, 15272
4, 32, 32, 15272
4, 32, 64, 15272
4, 32, 128, 15272
4, 64, 1, 53416
4, 64, 2, 53416
4, 64, 4, 53416
4, 64, 8, 53416
4, 64, 16, 53416
4, 64, 32, 53416
4, 64, 64, 53416
4, 64, 128, 53416
4, 128, 1, 203432
4, 128, 2, 203432
4, 128, 4, 203432
4, 128, 8, 203432
4, 128, 16, 203432
4, 128, 32, 203432
4, 128, 64, 203432
4, 128, 128, 203432
4, 256, 1, 798376
4, 256, 2, 798376
4, 256, 4, 798376
4, 256, 8, 798376
4, 256, 16, 798376
4, 256, 32, 798376
4, 256, 64, 798376
4, 256, 128, 798376
4, 512, 1, 3167912
4, 512, 2, 3167912
4, 512, 4, 3167912
4, 512, 8, 3167912
4, 512, 16, 3167912
4, 512, 32, 3167912
4, 512, 64, 3167912
4, 512, 128, 3167912
4, 1024, 1, 12625576
4, 1024, 2, 12625576
4, 1024, 4, 12625576
4, 1024, 8, 12625576
4, 1024, 16, 12625576
4, 1024, 32, 12625576
4, 1024, 64, 12625576
4, 1024, 128, 12625576
5, 1, 1, 2344
5, 1, 2, 2344
5, 1, 4, 2344
5, 1, 8, 2344
5, 1, 16, 2344
5, 1, 32, 2344
5, 1, 64, 2344
5, 1, 128, 2344
5, 2, 1, 2448
5, 2, 2, 2448
5, 2, 4, 2448
5, 2, 8, 2448
5, 2, 16, 2448
5, 2, 32, 2448
5, 2, 64, 2448
5, 2, 128, 2448
5, 4, 1, 2752
5, 4, 2, 2752
5, 4, 4, 2752
5, 4, 8, 2752
5, 4, 16, 2752
5, 4, 32, 2752
5, 4, 64, 2752
5, 4, 128, 2752
5, 8, 1, 3744
5, 8, 2, 3744
5, 8, 4, 3744
5, 8, 8, 3744
5, 8, 16, 3744
5, 8, 32, 3744
5, 8, 64, 3744
5, 8, 128, 3744
5, 16, 1, 6672
5, 16, 2, 6672
5, 16, 4, 6672
5, 16, 8, 6672
5, 16, 16, 6672
5, 16, 32, 6672
5, 16, 64, 6672
5, 16, 128, 6672
5, 32, 1, 19600
5, 32, 2, 19600
5, 32, 4, 19600
5, 32, 8, 19600
5, 32, 16, 19600
5, 32, 32, 19600
5, 32, 64, 19600
5, 32, 128, 19600
5, 64, 1, 70032
5, 64, 2, 70032
5, 64, 4, 70032
5, 64, 8, 70032
5, 64, 16, 70032
5, 64, 32, 70032
5, 64, 64, 70032
5, 64, 128, 70032
5, 128, 1, 269200
5, 128, 2, 269200
5, 128, 4, 269200
5, 128, 8, 269200
5, 128, 16, 269200
5, 128, 32, 269200
5, 128, 64, 269200
5, 128, 128, 269200
5, 256, 1, 1060752
5, 256, 2, 1060752
5, 256, 4, 1060752
5, 256, 8, 1060752
5, 256, 16, 1060752
5, 256, 32, 1060752
5, 256, 64, 1060752
5, 256, 128, 1060752
5, 512, 1, 4216720
5, 512, 2, 4216720
5, 512, 4, 4216720
5, 512, 8, 4216720
5, 512, 16, 4216720
5, 512, 32, 4216720
5, 512, 64, 4216720
5, 512, 128, 4216720
5, 1024, 1, 16820112
5, 1024, 2, 16820112
5, 1024, 4, 16820112
5, 1024, 8, 16820112
5, 1024, 16, 16820112
5, 1024, 32, 16820112
5, 1024, 64, 16820112
5, 1024, 128, 16820112
